단어,설명
고객관계관리 (CRM: Customer Relationship Management) ,"고객관계관리(CRM)은 기업이 고객과의 관계를 효율적으로 관리해 나가기 위해 고객과 관련된 기업의 내/외부 자료를 분석/통합하여, 고객 특성에 기초한 마케팅 활동을 계획/지원/평가하는 과정을 말한다. 기업의 고객과 관련된 내/외부 자료를 이용하자는 측면은 데이터베이스 마케팅과 성격이 같다고 할 수 있으나 고객의 정보를 취할 수 있는 방법, 즉 고객 접점이 데이터베이스 마케팅에 비해 훨씬 더 다양하고, 이 다양한 정보의 취득을 회사 전체 차원에서 활용한다는 점에서 기업 내 사고를 바꾸자는 BPR (Business Process Reengineering)적인 성격이 내포되어 있다. CRM은 고객 데이터의 세분화를 실시하여 신규고객 획득, 우수고객 유지, 고객가치 증진, 잠재고객 활성화, 평생 고객화와 같은 사이클을 통하여 고객을 적극적으로 관리하고 유도하며 고객의 가치를 극대화 시킬 수 있는 전략을 통하여 마케팅을 실시한다. "
"고수익률채권 (高收益率債券, high yield bond) ","벤처기업이나 부실기업 등과 같이 위험이 높고 신용등급이 낮은 기업이 발행한 이자율은 높지만 원금상환이 극히 불확실한 회사채를 말한다. 미국의 증권가에서 기업합병 및 매수(M&A) 자금으로 주로 발행돼 유통되고 있다. 일명 Junk bond라고도 하며, LBO(leveraged buy out)에서 회사의 인수비용을 확보하기 위하여 발행된다. "
"고정부채 (固定負債, long term liability) ","단기부채, 즉 유동부채에 대응되는 말로서 일반적으로 지불기한이 1년을 넘는 부채를 말한다. 고정부채의 종류로는 사채(社債), 장기차입금, 관계회사 차입금 등이 있다. 사채는 주식회사가 사업자금의 조달을 위하여 상법 또는 특별법에 따라 일반대중에게서 차입한 장기채무이다. 사채권자에 대하여는 계약에 따라 일정액의 이자를 지불하고 기일이 되면 원금을 상환한다. 장기차입금은 사채 및 관계회사 차입금 이외의 장기채무인데, 주로 부동산, 재단(財團) 등을 저당하고 차입한다. 관계회사 차입금은 거래관계가 밀접한 관계회사로부터의 장기차입금이다. 관계회사에 대한 채무는 일반채무와는 달리 재정상태가 매우 악화된 때에는 상환을 연기할 수가 있다. "
고정자산 ,"고정자산은 한국자산관리공사가 금융구조조정 과정에서 정리금융기관 등으로부터 취득한 자산으로 사옥, 점포, 연수원, 비업무용자산 등이 이에 속한다. 한국자산관리공사에서 관리 매각하고 있는 자산은 인수 또는 위탁기관에 따라 유입자산, 고정자산, 수탁재산, 압류재산, 국유재산으로 구분된다. 이들 자산은 공정하고 투명한 업무처리를 위하여 일반경쟁입찰을 통해 매각되고 있으며 각 자산마다 매각방법 등이 다소 차이가 있으므로 취득시 자산의 종류를 반드시 확인하여야 한다. 또한 한국자산관리공사의 매각물건을 취득할 경우 매입대금의 분할상환 등 여러 가지 혜택이 있다. "
공공자금 (公共資金) ,"공공자금이란 금융구조조정을 위해서 지원된 자금 중 공적자금이외의 다른 자금을 총칭하는 것으로 IBRD, ADB로부터의 차관자금, 국유재산관리 특별회계에서 금융기관에 현물출자한 자금, 공공자금관리기금에서 금융기관의 후순위채권을 매입한 자금, 국책은행에 대한 출자금, 한국자산관리공사 또는 예금보험공사가 차입한 자금 모두를 포함한다. 동 자금은 공적자금이 조성되기 이전에 지원되거나 법률적으로 공적자금으로 지원하기 곤란한 경우에 지원된 것으로서 해당 법령에 따라 국회승인, 국무회의의결 등의 절차를 거쳐 조성된 것이다. "
공공자산(公共資産),"조세에 의하여 조성된 정부보유자산. 유형, 무형의 자산뿐만 아니라 사회간접자본의 일환으로 구축되는 교량, 도로, 공원, 항만 등이 모두 포함"
"공기업 (公企業, public enterprise) ","공기업은 정부가 직/간접적으로 투자하고 있는 기업으로 정부가 소유권을 갖거나 통제권을 행사하는 기업을 말한다. 출자주체에 따라 국가공기업과 지방공기업으로 분류되며 국가공기업에는 정부투자기관/정부출자기관/정부기업 등이 있다. 정부투자기관은 정부가 납입자본금의 50% 이상을 출자한 법인으로서 [정부투자기관관리기본법]의 적용대상이 되는 법인이다. 그러나 정부가 납입자본금의 5할 이상을 출자한 기업 중 한국방송공사, 한국산업은행, 중소기업은행, 한국수출입은행 및 [은행법] 제2조의 규정에 의한 금융기관은 법 적용에서 배제된다. 정부투자기관에는 한국조폐공사, 한국전력공사, 대한석탄공사, 대한광업진흥공사, 한국석유공사, 대한무역투자진흥공사, 한국도로공사, 대한주택공사, 한국수자원공사, 한국토지공사, 농업기반공사, 농수산물유통공사, 한국관광공사 등 13개 기관이 있다. 정부출자기관은 정부가 납입자본금의 50% 미만을 출자한 기업으로 정부가 최대 주주인 법인이거나 최대 주주가 아니더라도 사실상 경영권에 영향을 미칠 수 있는 법인, 50% 이상을 출자한 기업이라도 [정부투자기관관리기본법]의 적용이 배제되는 기업, [공기업의 경영구조 개선 및 민영화에 관한 법률] 적용대상 기업을 말한다. 한국통신공사, 한국가스공사 등이 이에 해당된다. "
공매 (public sale) ,"법률의 규정에 의하여 공공기관이 강제적으로 하는 매매 방식이다. 공매는 민사소송법상의 공매와 국세징수법상의 공매가 있다. 민사소송법상의 공매는 사법상의 강제집행에 의하여 그 목적물을 환가처분(換價處分)하는 방법으로서 경매가 그 전형적인 예이다. 국세징수법상의 공매는 국세체납처분 절차의 최종단계로서 압류재산을 강제적으로 환가처분하는 것이다. 세무공무원이 압류한 부동산, 동산, 유가증권, 무체재산권과 제3자로부터 받은 물건은 원칙적으로 입찰이나 경매 방법에 의하여 공매한다(국세징수법 61조). 매각대금 및 압류통화는 국세, 가산금, 체납처분비 기타 채권에 배분하고 나머지가 있을 때에는 체납자에게 환부(還付)한다(국세징수법 81조). 체납처분이 종결되고 체납액에 충당된 배분금액이 그 체납액에 부족한 때 세무서장은 결손처분을 할 수 있다. 그러나 세무서장은 결손처분을 한 후 압류할 수 있는 다른 재산을 발견한 때에는 지체없이 그 처분을 취소하고 체납처분을 하여야 한다(국세징수법 86조). 한편, 한국자산관리공사의 공매는 부실채권 매각 방법중의 하나로도 활용한다. "
공매대금수납 및 배분업무 ,"공매는 한국자산관리공사 뿐만 아니라 국세청의 자체 공매 등 여러기관에서 진행되고 있는데, 공매대금수납 및 배분업무는 한국자산관리공사에서 공매 처분한 부동산의 매각대금을 매수자로부터 수령하여, 법원경매 부동산의 매각대금의 배당과 같이 선순위근저당권자 등 채권순위에 따라 채권자 등에게 나누어 주는 업무를 말한다. "
"공모 (公募, public offering) ","광범위하게 일반투자자(불특정다수)를 응모대상으로 하여 채권을 발행하는 것을 말하는데 회사를 설립하거나 증자할 경우 일반 투자자로부터 자금을 모집하는 것을 말한다. 채권의 발행은 공모가 정통적인 것으로 인정되고, 공모에 적합하지 않는 경우에 사모로 하는 것이 원칙이다. 기업은 공모를 통해 주주층을 확대하는 동시에 주식을 분산하여 시장성을 높이고 적대기업의 매점 등에 대항할 수 있다. 공모에는 발행자가 직접 청약자를 모집하는 경우와 증권회사가 매개하는 경우가 있는데, 보통 후자가 일반적이다. 주식공모에는 현재의 주주이익을 고려하여 주식의 시장가격을 기초로 발행가격이 정해진다. "
공용재산 (公用財産) ,"국유재산법상 행정재산에 속하는 재산을 말하며, 국가가 직접 사무, 사업용 또는 공무원의 거주용으로 사용하거나 사용하기로 결정한 자산이다. 행정재산은 공공의 목적으로 사용되는 재산이므로 특수한 공법상의 규제를 받으며, 원칙적으로 이를 대부(貸付)/매각/교환/양여 또는 신탁하거나 출자(出資)의 목적으로 하거나 이에 사권(사권)을 설정하지 못한다 (국유재산법 20조). "
공적연금 (公的年金) ,"연금제도는 생산활동이 힘든 노후의 생활을 대비하기 위하여 생산활동기간 동안 벌어들인 소득의 일부를 적립하는 제도이다. 연금제도는 그 운영주체가 국가인 공적연금제도와 국가가 아닌 사적연금제도로 나누어진다. 사적연금제도는 다시 직장이 운영주체인 기업연금과 개인이 주체가 되는 개인연금으로 구분된다. 우리나라에서 정부가 운영하는 공적연금제도로서는 일반국민을 대상으로 하는 국민연금제도와 특수직종사자를 대상으로 하는 3가지 연금제도 즉, 군인연금/공무원연금/사립학교교원연금제도가 있다. 국민연금제도는 특수직 종사자를 제외한 전국민을 대상으로 실시되는 공적연금제도로서 급여의 종류는 노령연금/장해연금/유족연금 등이 있다. 재원은 고용주 및 근로자의 기여금(노사 각각 4.5%씩 부담), 행정관리비의 국고부담 및 적립금 운용에서 발생하는 이식금 등으로 충당하고 있다. 세제상 소득공제 혜택은 없으며, 연금 지급시에 비과세한다. "
"공적자금 (公的資金, public fund) ","공적자금이란 부실채권정리기금(한국자산관리공사)과 예금보험기금(예금보험공사)이 국회동의하에 정부의 원리금지급보증을 받은 채권을 발행하여 조성한 자금을 말한다. 동 자금은 관련 법률에 근거하여 금융기관으로부터의 부실채권 매입, 금융기관에 대한 출자 및 예금대지급을 위해서 사용되고, 이에 대해서는 정부가 직접 상환하는 것이 아니고 지급보증만을 하였으므로 정부예산이나 국가부채에는 포함되지 않고 양 기금이 동 채권을 상환할 수 없을 경우에 최종적으로 정부의 부담으로 귀착되는 정부의 우발채무이다. 공적자금을 투입하는 세가지 방법은 첫째, 자산관리공사가 금융기관의 부실채권을 매입하는데 사용되며, 둘째, 예금보험공사가 금융기관에 대해 직접 증자해 주는 방법이 있고, 셋째, 금융기관 도산 시 예금보험공사가 고객예금을 대신 지불하는 예금대지급 자금 지원에 사용된다. "
공정거래위원회 (KFTC: Korea Fair Trade Commission) ,"공정거래법을 시행하기 위해 설치되어 있는 행정기관으로서 자유시장 경제체제의 구조 규제 및 시장행동과 공정한 거래에 관한 규범을 규정하고 운용한다. 공정거래법은 독점규제 및 공정거래에 관한 법률에 규정된 중요 사항과 위반 사항에 대한 결정, 처분을 하기에 앞서 이를 심의, 의결하기 위해 독립기관으로 공정거래위원회를 둔다고 규정하고 있다. 위원장, 부위원장, 상임위원 3인과 비상임위원 4인으로 구성되어 있다. "
